Name,Value,Min,Max,Stderr,Vary,Expr,Brute_Step
Water,20,,,,FALSE,,
Kk,0.023,,,,FALSE,,
Kl,0.038,,,,FALSE,,
Kr,0.0189,,,,FALSE,,
Kmk,5582,,,,FALSE,,
Kml,3050,,,,FALSE,,
Kmr,1525,,,,FALSE,,
Pb,5.13,,,,FALSE,,
Pbw,665.22,,,,FALSE,,
Pf,85.01,,,,FALSE,,
Pg,1.78,,,,FALSE,,
Pk,2.37,,,,FALSE,,
Pl,4.98,,,,FALSE,,
Pp,0.98,,,,FALSE,,
Pr,8.69,,,,FALSE,,
Qb,0.0000282,,,,FALSE,,
Qc,0.2818,,,,FALSE,,
Qf,0.0255,,,,FALSE,,
Qg,0.000507,,,,FALSE,,
Qk,0.0154,,,,FALSE,,
Ql,0.00814,,,,FALSE,,
Qp,0.169,,,,FALSE,,
Qpk,0.6,,,,FALSE,,
Qr,0.0632,,,,FALSE,,
Qw,1.657,,,,FALSE,,
Vart,0.0042,0,1,,TRUE,,
Vb,0.000296,,,,FALSE,,
Vf,0.01036,,,,FALSE,,
Vg,0.000211,,,,FALSE,,
Vk,0.001072,,,,FALSE,,
Vl,0.001636,,,,FALSE,,
Vmaxk,12400,,,,FALSE,,
Vmaxl,6790,,,,FALSE,,
Vmaxr,3395,,,,FALSE,,
Vp,0.1194,,,,FALSE,,
Vr,0.007967,,,,FALSE,,
